Date,PX_LAST,AVERAGE_BID_ASK_SPREAD,EQY_WEIGHTED_AVG_PX,PX_VOLUME
23-Aug-21,3.94,0.0101,3.9374,17167500
24-Aug-21,4.11,0.0103,4.0586,56126400
25-Aug-21,4.1,0.0103,4.113,22290100
26-Aug-21,4.16,0.0104,4.1367,27978200
27-Aug-21,4.18,0.0101,4.1668,20661600
30-Aug-21,4.18,0.0102,4.149,50683700
1-Sep-21,4.08,0.0101,4.1,35537700
2-Sep-21,4.07,0.0102,4.0684,20994700
3-Sep-21,4.13,0.0102,4.0961,16580500
6-Sep-21,4.09,0.0101,4.0861,16986600
7-Sep-21,4.1,0.0101,4.1007,9414900
8-Sep-21,4.15,0.0101,4.125,17679900
9-Sep-21,4.1,0.0101,4.1089,12565800
10-Sep-21,4.1,0.0101,4.0947,12239500
13-Sep-21,4.06,0.0102,4.0455,14485400
14-Sep-21,4,0.0101,4.0142,25125400
15-Sep-21,4.01,0.0106,4.007,21194100
17-Sep-21,4.06,0.01,4.0407,25790600
20-Sep-21,4.02,0.0103,4.0198,5930400
21-Sep-21,4.03,0.01,4.0199,7601900
22-Sep-21,4.04,0.0102,4.0368,13208800
23-Sep-21,4.06,0.0105,4.0632,8365600
24-Sep-21,4.04,0.0101,4.0461,13142900
27-Sep-21,4.08,0.0103,4.0518,14443700
28-Sep-21,4.11,0.0105,4.0744,15097600
29-Sep-21,4.1,0.0108,4.0875,9457200
30-Sep-21,4.07,0.0102,4.0699,21417800
1-Oct-21,4.04,0.0104,4.0429,18087900
4-Oct-21,4.03,0.0103,4.0324,12620000
5-Oct-21,4.06,0.0107,4.0414,9445100
6-Oct-21,4.06,0.0105,4.0567,16163300
7-Oct-21,4.08,0.0108,4.0715,8972700
8-Oct-21,4.08,0.0109,4.0765,8769000
11-Oct-21,4.11,0.0104,4.1084,13009300
12-Oct-21,4.16,0.0104,4.1453,18398600
13-Oct-21,4.19,0.0106,4.1902,9115000
14-Oct-21,4.19,0.0104,4.1861,9419000
15-Oct-21,4.2,0.0101,4.1975,9385200
18-Oct-21,4.23,0.0101,4.2323,13360300
20-Oct-21,4.27,0.0102,4.264,18349300
21-Oct-21,4.23,0.0104,4.233,19783500
22-Oct-21,4.23,0.0106,4.2143,8128200
25-Oct-21,4.24,0.0114,4.2405,6765800
26-Oct-21,4.23,0.0101,4.2324,13502500
27-Oct-21,4.23,0.0103,4.2385,9136000
28-Oct-21,4.2,0.0105,4.2101,13131000
29-Oct-21,4.17,0.0108,4.1821,20361500
1-Nov-21,4.04,0.0105,4.0453,51794900
2-Nov-21,4.04,0.0104,4.0501,22210200
3-Nov-21,4.04,0.01,4.0418,13948300
5-Nov-21,4.03,0.0101,4.0268,15177700
8-Nov-21,4.04,0.0101,4.0347,13626300
9-Nov-21,4.03,0.0101,4.0235,12276500
10-Nov-21,4.02,0.0103,4.0188,10463100
11-Nov-21,4.02,0.01,4.0201,11040800
12-Nov-21,4.02,0.0103,4.0268,15585600
15-Nov-21,4.01,0.0101,4.0103,9846000
16-Nov-21,4.02,0.01,4.0153,11170800
17-Nov-21,4.05,0.0102,4.0367,17803000
18-Nov-21,4.05,0.0101,4.0478,13575700
19-Nov-21,4.07,0.0102,4.0628,11812500
22-Nov-21,4.07,0.0103,4.0646,13156000
23-Nov-21,4.07,0.0101,4.0679,13207100
24-Nov-21,4.07,0.0102,4.0655,7858200
25-Nov-21,4.02,0.0102,4.0394,10060500
26-Nov-21,4,0.0104,4.0031,22785200
29-Nov-21,3.96,0.0103,3.9709,23410500
30-Nov-21,3.94,0.0101,3.9466,91707100
1-Dec-21,3.91,0.0106,3.9215,29325600
2-Dec-21,3.91,0.0102,3.9138,27477100
6-Dec-21,3.88,0.0102,3.8924,48415600
7-Dec-21,3.99,0.0102,3.9654,18349600
